"id","meanfreq","sd","median","Q25","Q75","IQR","skew","kurt","sp.ent","sfm","mode","centroid","meanfun","minfun","maxfun","meandom","mindom","maxdom","dfrange","modindx","label"
2127,4.17968093677464,5.6144136513214,1.74029004834139,0.328054675779297,5.38089681613602,5.05284214035673,18.6775378162,449.863466718271,0.844055163322513,0.458416539069083,0.160026671111852,4.17968093677464,0.0,0.0,0.0,0.16,0.16,0.16,0.0,0.0,2.0
2128,1.76534177017993,4.00759479238428,0.3240540090015,0.164027337889648,0.988164694115686,0.824137356226038,36.39866762449,1530.15632125277,0.636952686481253,0.246314549047767,0.164027337889648,1.76534177017993,0.0,0.0,0.0,0.164,0.164,0.164,0.0,0.0,0.0
2129,4.40828524230165,5.2916760932761,1.85630938489748,0.444074012335389,7.17319553258876,6.72912152025338,9.99916889168552,130.783651526331,0.859327993294539,0.34324303652981,0.176029338223037,4.40828524230165,8.0,0.0,8.0,0.176,0.176,0.176,0.0,0.0,2.0
2130,1.95635239216262,3.83880028910986,0.556092682113686,0.244040673445574,1.61226871145191,1.36822803800633,23.8385683265983,751.544089656134,0.714694795980915,0.0817512109149518,0.176029338223037,1.95635239216262,0.0,0.0,0.0,0.176,0.176,0.176,0.0,0.0,2.0
2131,3.78221958095256,5.31730408303256,1.76829471578596,0.708118019669945,3.82863810635106,3.12052008668111,17.1901322046283,520.252728829582,0.84850719338625,0.327600548917956,0.0240040006667778,3.78221958095256,0.0,0.0,0.0,0.024,0.024,0.024,0.0,0.0,2.0
2132,4.02049139697067,6.4757472711661,1.31221870311719,0.14002333722287,3.43257209534922,3.29254875812635,24.2662875188197,710.068129358773,0.80499462520981,0.358159393308248,0.0240040006667778,4.02049139697067,0.0,0.0,0.0,0.024,0.024,0.024,0.0,0.0,2.0
2133,6.89557805163397,8.79391761312091,0.132022003667278,0.0200033338889815,15.8066344390732,15.7866311051842,34.5963923530906,1346.08945182458,0.72073685048846,0.528336936898255,0.0120020003333889,6.89557805163397,0.0,0.0,0.0,0.012,0.012,0.012,0.0,0.0,2.0
2134,5.71742481123316,7.37256031801109,2.24837472912152,0.0520086681113519,8.98149691615269,8.92948824804134,23.8438115151082,676.01558179905,0.814517668258436,0.510859279805853,0.0240040006667778,5.71742481123316,0.0,0.0,0.0,0.024,0.024,0.024,0.0,0.0,2.0
2135,4.15141395978987,4.74310767968445,2.62843807301217,0.472078679779963,5.30488414735789,4.83280546757793,9.72292197665592,129.340871210393,0.869834257104355,0.366964885784461,0.440073345557593,4.15141395978987,0.0,0.0,0.0,0.432,0.432,0.432,0.0,0.0,2.0
2136,8.16249630225947,5.48863643823185,7.30121686947825,4.67277879646608,11.077846307718,6.40506751125188,4.21723115784755,34.0181382831883,0.937351457737524,0.549591749230473,0.0280046674445741,8.16249630225947,8.0,0.0,8.0,0.204,0.204,0.204,0.0,0.0,2.0
